Cuadricula;Peso;Fecha;Sigma0;Sigma1;Sigma2;Sigma3;Sigma4;Sigma5;Sigma6;Sigma7;Sigma8;Sigma9;Sigma10;Sigma11;Sigma12;Sigma13;Sigma14;Sigma15;Sigma16;Sigma17;Sigma18;Sigma19;Sigma20;Sigma21;Sigma22;Sigma23
0;0;05/01/2025  1:45;0,02730016;0,01073268;0,03083568;0,03478060;0,01101096;0,01149064;0,01074835;0,01131166;0,01196355;0,01993352;0,00854913;0,01554425;0,01527143;0,00555330;0,00680453;0,01861151;0,00730466;0,00461387;0,00761818;0,00670702;0,00701871;0,01117552;0,00665520;0,00567745
0;0;05/01/2025  2:00;0,02838031;0,01117603;0,03048262;0,03626819;0,01146938;0,01135598;0,01111132;0,01178477;0,01195289;0,02075363;0,00889340;0,01541134;0,01526610;0,00560391;0,00444964;0,01852606;0,00733871;0,00416284;0,00772861;0,00672409;0,00549607;0,01123293;0,00669344;0,00341902
0;0;05/01/2025  2:15;0,02796096;0,01098787;0,03069437;0,03566889;0,01128587;0,01143378;0,01098724;0,01157828;0,01200592;0,02042163;0,00874199;0,01549422;0,01463801;0,00545843;0,00671148;0,01775558;0,00709220;0,00544714;0,00754936;0,00651311;0,00682462;0,01079652;0,00649504;0,00550694
0;0;05/01/2025  2:30;0,02849350;0,01120055;0,03143882;0,03640236;0,01149759;0,01159725;0,01119673;0,01182048;0,01194052;0,02083275;0,00891731;0,01589693;0,01570884;0,00571046;0,00679716;0,01911914;0,00750434;0,00509741;0,00790456;0,00688286;0,00687861;0,01152634;0,00684632;0,00562463
0;0;05/01/2025  2:45;0,02747786;0,01082820;0,02992107;0,03505643;0,01110423;0,01120759;0,01080054;0,01140328;0,01175465;0,02005687;0,00861975;0,01515125;0,01497431;0,00550644;0,00679726;0,01821187;0,00720907;0,00475087;0,00770707;0,00661224;0,00694897;0,01102870;0,00658362;0,00569296
0;0;05/01/2025  3:00;0,02759898;0,01086267;0,03091670;0,03522540;0,01114591;0,01149368;0,01089168;0,01144188;0,01194469;0,02016151;0,00865486;0,01566920;0,01489048;0,00550702;0,00535119;0,01813452;0,00717550;0,00431561;0,00775212;0,00659355;0,00596331;0,01098636;0,00655980;0,00442134
0;0;05/01/2025  3:15;0,02738569;0,01077114;0,02979027;0,03492259;0,01106403;0,01117853;0,01078764;0,01135589;0,01164793;0,01999514;0,00857855;0,01508155;0,01499047;0,00552092;0,00655934;0,01824999;0,00721112;0,00453532;0,00762668;0,00661985;0,00674977;0,01101698;0,00658456;0,00549804
0;0;05/01/2025  3:30;0,02816767;0,01109963;0,03102543;0,03596110;0,01140246;0,01152893;0,01105195;0,01170135;0,01209548;0,02058238;0,00884922;0,01571663;0,01525460;0,00560059;0,00651307;0,01855202;0,00732975;0,00453100;0,00777067;0,00672198;0,00673253;0,01123092;0,00669531;0,00546749
0;0;05/01/2025  3:45;0,02732802;0,01078023;0,03013833;0,03483885;0,01106974;0,01125122;0,01077231;0,01136060;0,01175720;0,01995777;0,00858933;0,01527346;0,01538454;0,00561082;0,00614668;0,01876367;0,00736090;0,00444445;0,00774963;0,00675597;0,00644402;0,01127227;0,00670595;0,00511302
0;0;05/01/2025  4:00;0,02710093;0,01065046;0,03132465;0,03455651;0,01091693;0,01157166;0,01067820;0,01121373;0,01203468;0,01978459;0,00848198;0,01583559;0,01490646;0,00549537;0,00616885;0,01814551;0,00718641;0,00539611;0,00762500;0,00659920;0,00637859;0,01096092;0,00655576;0,00494374
